CA Dept of State Hospitals (DSH-San Diego),8566582,13481833,APM00073500860,APM00073500860,11/19/07 0:00,NA,"ASSY, CX3-20C ISCSI/COMBO HA CHASSIS DEL",100-561-429,CLARiiON CX3-20,HARDWARE-PART,CLARIION-CX3,CLARiiON,Install,,03.26.020.5.011,ASP,WEBEX,EMAIL HOME,,,62303779,SA-SALE-US,NA,NA,NA,1752-12-31 00:00:00,1752-12-31 00:00:00,N,Unisys ASP Optional,NA,,,,,3420 CAMINO DEL RIO N,STE 215,SAN DIEGO,CA,,92108,America/Los_Angeles,Daniel.Rolls@emc.com,52513 AM CS District,sam.newman@emc.com,west.am@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,FNM00090100027,FNM00090100027,1/28/09 0:00,CX4-120C,CX4-120 PSNT,900-566-004,CLARiiON CX4-120,HARDWARE-PART,CLARIION-CX4,CLARiiON,Install - T&M,,04.30.000.5.523,EMC,,,,10/8/13 19:37,63042899,SA-SALE-US,63042899H,PREMIUM,CANCELLED,1/28/14 0:00,6/30/14 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,APM00090600515,APM00090600515,4/3/09 0:00,CX4-120C,CX4-120 PSNT,900-566-004,CLARiiON CX4-120,HARDWARE-PART,CLARIION-CX4,CLARiiON,Install - T&M,,04.28.000.5.504,EMC,,,,2/18/16 7:22,63119535,SA-SALE-US,63119535H,PREMIUM,CANCELLED,4/3/14 0:00,6/30/14 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,WCARP095306785,WCARP095306785,4/6/10 12:00,RP-HW-1U-GEN4,1U RECOVERPOINT DELL R610 SRVR 8GB FC,100-562-779,RecoverPoint HW,HARDWARE-PART,RECOVERPOINT-GEN4,RecoverPoint,Install - T&M,,3.4.3.0,EMC,,,05PSPA010000059,,63498013,SA-SALE-US,63498013H,PREMIUM,CANCELLED,4/6/14 0:00,3/15/20 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,WCARP095306786,WCARP095306786,4/6/10 12:00,RP-HW-1U-GEN4,1U RECOVERPOINT DELL R610 SRVR 8GB FC,100-562-779,RecoverPoint HW,HARDWARE-PART,RECOVERPOINT-GEN4,RecoverPoint,Install - T&M,,3.4.3.0,EMC,,,05PSPA010000059,,63498013,SA-SALE-US,63498013H,PREMIUM,CANCELLED,4/6/14 0:00,3/15/20 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,WCARP095306792,WCARP095306792,4/6/10 12:00,RP-HW-1U-GEN4,1U RECOVERPOINT DELL R610 SRVR 8GB FC,100-562-779,RecoverPoint HW,HARDWARE-PART,RECOVERPOINT-GEN4,RecoverPoint,Install - T&M,,3.4.3.0,EMC,,,05PSKA010000169,,63498013,SA-SALE-US,63498013H,PREMIUM,CANCELLED,4/6/14 0:00,3/15/20 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,WCARP095306791,WCARP095306791,4/6/10 12:00,RP-HW-1U-GEN4,1U RECOVERPOINT DELL R610 SRVR 8GB FC,100-562-779,RecoverPoint HW,HARDWARE-PART,RECOVERPOINT-GEN4,RecoverPoint,Install - T&M,,3.4.3.0,EMC,,,05PSKA010000169,,63498013,SA-SALE-US,63498013H,PREMIUM,CANCELLED,4/6/14 0:00,3/15/20 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,APM00095202858,APM00095202858,4/10/10 11:49,CX4-120C,CX4-120 PSNT,900-566-004,CLARiiON CX4-120,HARDWARE-PART,CLARIION-CX4,CLARiiON,Install - T&M,,CUSTOMER INSTALLABLE,EMC,,,,,63498013,SA-SALE-US,63498013H,PREMIUM,CANCELLED,1/10/15 0:00,3/15/20 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,APM00102701840,APM00102701840,8/8/10 0:00,AVMRACKG3,INA REPLACED BY 100-580-610-01,100-580-610,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install - T&M,,5.0.4-30,EMC,NOT APPLICABLE,EMAIL HOME,1284670116A4BADB3344EC,,63819039,EV-EVAL-US,63848447H,PREMIUM,CANCELLED,9/23/12 0:00,9/22/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ALT17115000018,ALT17115000018,5/16/12 0:00,AVMSWITCHG4,LAYER3 10/100/1000 BASET ETHERNET SWITCH,100-580-700,,HARDWARE-PART,AVAMAR-NA,,Install,,,EMC,,,,,64670222,SW-SWAP-US,64670222HL,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Sacramento),4924072,71549000,ALT17115000001,ALT17115000001,5/16/12 0:00,AVMSWITCHG4,LAYER3 10/100/1000 BASET ETHERNET SWITCH,100-580-700,,HARDWARE-PART,AVAMAR-NA,,Install,,,EMC,,,,,64670222,SW-SWAP-US,64670222HL,PREMIUM,CUSTOMER QUOTED,7/1/15 0:00,6/30/16 0:00,N,NA,NA,,,,,1600 9TH ST,RM 151,SACRAMENTO,CA,,95814,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,richard.teran@emc.com,richard.teran@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
